Helmert parameters
------------------------
Tx:           -0.0781190 meter
Ty:            0.1060542 meter
Tz:            0.0000433 meter
Rx:    0.000000007647708 rad     0.001577453 arcsec
Ry:    0.000000021016782 rad     0.004335023 arcsec
Rz:   -0.000000005142342 rad    -0.001060684 arcsec
S.:    1.000000002666990          0.002666992 ppm
RMS:            0.004190 meter

------------------------------------
               X(mm)   Y(mm)   Z(mm)
------------------------------------
St.dev:         3.68    1.71    5.88
Max.:           8.25    4.27   18.81
Min.:         -11.44   -4.24  -16.15
Mean:          -0.68   -0.09   -1.17
RMS:            3.73    1.71    5.98

       From points                                  To points                                    Residuals
----------------------------------------------------------------------------------------------------------------------------
Name              X              Y              Z              X              Y              Z        vX        vY        vZ
LOFS   2345766.8948    543139.0088   5886461.4747   2345766.9481    543139.0587   5886461.4454   -0.0013   -0.0006    0.0001
LOFT   3143950.1719    367015.2586   5518813.9530   3143950.2191    367015.3084   5518813.8986   -0.0010    0.0011   -0.0060
LOMC   2984176.1633    449923.5637   5600607.3447   2984176.2088    449923.6137   5600607.2843   -0.0044    0.0009   -0.0162
LONC   2434929.1221    673600.9005   5837390.1139   2434929.1749    673600.9518   5837390.0776   -0.0018    0.0006   -0.0059
LOPC   2000371.5966    822393.9620   5980168.5693   2000371.6552    822394.0121   5980168.5536    0.0015   -0.0021    0.0041
LOTC   3056650.4761    613631.1715   5545938.2840   3056650.5196    613631.2207   5545938.2329   -0.0061   -0.0004   -0.0064
LSTC   3356583.9034    393624.5205   5391091.2999   3356583.9568    393624.5689   5391091.2581    0.0073   -0.0002    0.0113
LUND   3323410.5333    381710.6547   5412373.7103   3323410.5859    381710.7027   5412373.6665    0.0062   -0.0007    0.0087
LURC   2483712.3438    573870.0667   5827022.9763   2483712.3966    573870.1161   5827022.9444   -0.0011   -0.0008    0.0003
LYSC   3269684.1581    366420.3928   5446037.4498   3269684.2089    366420.4421   5446037.4037    0.0039    0.0007    0.0052
MALO   2997000.8238    268936.2622   5604963.9025   2997000.8747    268936.3117   5604963.8561    0.0018    0.0011   -0.0004
MARE   2754413.4540    556880.5646   5706611.4096   2754413.5087    556880.6138   5706611.3698    0.0027   -0.0006   -0.0015
MAUC   3131965.9504    403031.6494   5523941.4400   3131965.9951    403031.7006   5523941.3848   -0.0036    0.0025   -0.0073
MAZC   2056711.2308    901662.5191   5950038.2213   2056711.2887    901662.5757   5950038.2001    0.0008    0.0043   -0.0008
MEBC   2827601.6087    551358.5175   5671662.3848   2827601.6607    551358.5672   5671662.3425    0.0006    0.0001   -0.0023
MEHC   1838248.4507    971276.9190   6009590.8919   1838248.5134    971276.9743   6009590.8955    0.0047    0.0021    0.0188
MLDC   2906891.7748    364735.8700   5646569.9587   2906891.8279    364735.9208   5646569.9141    0.0029    0.0019   -0.0014
MOEC   3052944.4279    576976.4090   5551768.8373   3052944.4727    576976.4569   5551768.7884   -0.0049   -0.0015   -0.0040
MOIC   2491923.8878    627777.7869   5818045.7462   2491923.9399    627777.8375   5818045.7115   -0.0020    0.0003   -0.0027
MOLC   2418105.9946    628665.8058   5848777.9619   2418106.0468    628665.8560   5848777.9248   -0.0023   -0.0004   -0.0067
MOSJ   2548588.4226    597721.8407   5796741.7712   2548588.4747    597721.8925   5796741.7369   -0.0015    0.0016   -0.0008
MYRC   2221995.2262    598999.0679   5928613.8654   2221995.2796    598999.1183   5928613.8375   -0.0020   -0.0004   -0.0016
MYSE   3177386.7014    637077.2318   5475291.9540   3177386.7432    637077.2789   5475291.9065   -0.0069   -0.0024   -0.0002
NAMS   2701152.2455    549928.5052   5732474.7200   2701152.2993    549928.5540   5732474.6796    0.0015   -0.0010   -0.0032
NASK   2639128.9581    616998.5199   5754577.5218   2639129.0104    616998.5696   5754577.4776   -0.0008   -0.0005   -0.0089
NORH   3143234.9206    338308.2025   5521033.3152   3143234.9695    338308.2527   5521033.2624    0.0008    0.0017   -0.0041
NOTO   3197291.0593    521284.0343   5475887.5352   3197291.1048    521284.0826   5475887.4838   -0.0027   -0.0008   -0.0028
OLDC   2087738.2220    782002.0432   5955837.6394   2087738.2800    782002.0910   5955837.6164    0.0014   -0.0040   -0.0010
OPEC   3149785.9308    598260.8289   5495348.5562   3149785.9774    598260.8773   5495348.5153   -0.0023   -0.0010    0.0060
ORNS   2441417.4255    596158.7255   5842556.9771   2441417.4819    596158.7766   5842556.9505    0.0022    0.0007    0.0046
ORSK   2933691.9978    351417.8003   5633650.0206   2933692.0488    351417.8516   5633649.9730    0.0011    0.0025   -0.0037
OSLS   3169982.1155    579956.5438   5485936.5330   3169982.1598    579956.5915   5485936.4834   -0.0043   -0.0017   -0.0021
OSTC   3090542.1520    407157.5943   5546820.6395   3090542.1983    407157.6462   5546820.5851   -0.0024    0.0031   -0.0074
OVEC   2161180.9906    756387.9372   5933137.4045   2161181.0462    756387.9888   5933137.3722   -0.0006    0.0000   -0.0085
PORC   3267084.9729    542580.7749   5432706.0319   3267085.0231    542580.8233   5432705.9907    0.0026   -0.0008    0.0088
PREC   3227088.8831    353649.6108   5471909.7844   3227088.9333    353649.6602   5471909.7375    0.0029    0.0009    0.0035
PRGC   3233111.6157    550129.7316   5452101.9882   3233111.6672    550129.7795   5452101.9526    0.0036   -0.0012    0.0135
RAUC   3194457.7339    451622.6170   5484558.5357   3194457.7805    451622.6667   5484558.4855   -0.0014    0.0008   -0.0012
RENC   3026038.1260    608374.2790   5563169.2230   3026038.1709    608374.3262   5563169.1756   -0.0051   -0.0024   -0.0034
